ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
4849808,Beautiful room in Back Bay,24953502,https://www.airbnb.com/s/Boston--MA?page=8,60,,,,42.343650801780264,-71.08790860916794,No,,96,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682093,"Boston, Airport Subway,All 5 Stars ",3474193,https://www.airbnb.com/s/Boston--MA?page=8,85,,,,42.38138095775518,-70.99024936391423,No,,104,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3783090,Chic New Apartment Next to Fenway,13931840,https://www.airbnb.com/s/Boston--MA?page=8,110,,,,42.34531549367163,-71.10659271897768,No,,112,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5784404,Single Room Near Harvard,26956083,https://www.airbnb.com/s/Boston--MA?page=8,89,,,,42.359449060464,-71.14049676849287,No,,120,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262344,The Cohen Room,21420925,https://www.airbnb.com/s/Boston--MA?page=8,80,,,,42.373080145805964,-71.10167651787613,No,,128,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5191839,A Pleasant Stay on Pleasant Place,12937551,https://www.airbnb.com/s/Boston--MA?page=8,40,,,,42.36268361178004,-71.10714422705819,No,,136,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232852,Harvard•MIT•PrivateRm#1•Parking•TV,5608628,https://www.airbnb.com/s/Boston--MA?page=8,95,,,,42.36975123868141,-71.10122396394908,No,,144,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6088708,Private Bedrm&Bath Downtown/Subway,6950436,https://www.airbnb.com/s/Boston--MA?page=9,118,,,,42.3299945855828,-71.05172341371099,No,,9,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183058,Historic Boston North End Condo,11132080,https://www.airbnb.com/s/Boston--MA?page=9,175,,,,42.36429253019143,-71.05452105334297,No,,18,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23602,Urban Oasis Close to Everything ,93032,https://www.airbnb.com/s/Boston--MA?page=9,109,,,,42.38503078662523,-71.10769093693172,No,,27,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395326,Classic South End Brownstone-1 BR,12230539,https://www.airbnb.com/s/Boston--MA?page=9,222,,,,42.34643269471023,-71.07091582400858,No,,36,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8116523,Brownstone in heart of Back Bay,42431392,https://www.airbnb.com/s/Boston--MA?page=9,150,,,,42.355527797905374,-71.07834143471044,No,,45,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8733896,"Best Location, Luxury Condo",3169119,https://www.airbnb.com/s/Boston--MA?page=9,99,,,,42.35144811572914,-71.05866958788957,No,,54,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9885963,Charming attic room in Boston,4365676,https://www.airbnb.com/s/Boston--MA?page=9,35,,,,42.361276339935394,-71.12395963235808,No,,63,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636939,"Elegant Tudor home, close to Boston",2553535,https://www.airbnb.com/s/Boston--MA?page=9,159,,,,42.32347891706146,-71.20228109083189,No,,72,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13827,Harvard/MIT Outstanding Location!,53093,https://www.airbnb.com/s/Boston--MA?page=9,110,,,,42.36784091668584,-71.10334443769254,No,,81,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
